user_id,date,kind,category,label,amount
3,2023-01-05,revenu,"Revenus professionnels","Salaire principal_Jan 2023",2450.0
3,2023-01-10,revenu,"Revenus financiers","Intérêts bancaires_Jan 2023",25.0
3,2023-01-01,depense,"Logement","Loyer / crédit immobilier_Jan 2023",750.0
3,2023-01-02,depense,"Assurances","Assurance habitation_Jan 2023",65.0
3,2023-01-03,depense,"Alimentation & boissons non alcoolisées","Courses (supermarché, épicerie)_Jan 2023",95.0
3,2023-01-07,depense,"Transport","Transports en commun_Jan 2023",45.0
3,2023-01-10,depense,"Communications","Forfait mobile_Jan 2023",35.0
3,2023-01-12,depense,"Santé","Pharmacie / parapharmacie_Jan 2023",22.0
3,2023-01-15,depense,"Loisirs & culture","Abonnements numériques (Netflix, Spotify, etc.)_Jan 2023",15.0
3,2023-01-18,depense,"Restaurants & hôtels","Cafés / bars_Jan 2023",28.0
3,2023-01-20,depense,"Habillement & chaussures","Vêtements_Jan 2023",60.0
3,2023-01-22,depense,"Impôts & taxes","Impôt sur le revenu_Jan 2023",320.0
3,2023-01-25,depense,"Crédits & dettes","Crédit consommation_Jan 2023",120.0
3,2023-01-28,epargne,"Épargne & placements","Livret A / LDDS_Jan 2023",280.0
3,2023-01-28,epargne,"Épargne & placements","Assurance-vie_Jan 2023",150.0
3,2023-02-05,revenu,"Revenus professionnels","Salaire principal_Feb 2023",2450.0
3,2023-02-10,revenu,"Revenus financiers","Intérêts bancaires_Feb 2023",28.0
3,2023-02-01,depense,"Logement","Électricité_Feb 2023",55.0
3,2023-02-03,depense,"Alimentation & boissons non alcoolisées","Courses (supermarché, épicerie)_Feb 2023",98.0
3,2023-02-07,depense,"Transport","Transports en commun_Feb 2023",45.0
3,2023-02-10,depense,"Communications","Internet / fibre_Feb 2023",40.0
3,2023-02-12,depense,"Santé","Médecin / spécialiste_Feb 2023",45.0
3,2023-02-15,depense,"Loisirs & culture","Livres / magazines_Feb 2023",18.0
3,2023-02-18,depense,"Restaurants & hôtels","Restaurants_Feb 2023",55.0
3,2023-02-20,depense,"Habillement & chaussures","Accessoires / bijoux_Feb 2023",35.0
3,2023-02-22,depense,"Impôts & taxes","CSG / CRDS_Feb 2023",180.0
3,2023-02-25,depense,"Crédits & dettes","Crédit consommation_Feb 2023",120.0
3,2023-02-28,epargne,"Épargne & placements","PEL / CEL_Feb 2023",200.0
3,2023-02-28,epargne,"Épargne & placements","Assurance-vie_Feb 2023",150.0
3,2023-03-05,revenu,"Revenus professionnels","Salaire principal_Mar 2023",2480.0
3,2023-03-10,revenu,"Revenus exceptionnels","Remboursement d’impôts_Mar 2023",85.0
3,2023-03-01,depense,"Logement","Eau_Mar 2023",38.0
3,2023-03-03,depense,"Alimentation & boissons non alcoolisées","Fruits & légumes_Mar 2023",75.0
3,2023-03-07,depense,"Transport","Essence / carburant_Mar 2023",40.0
3,2023-03-10,depense,"Communications","Forfait mobile_Mar 2023",35.0
